time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840649.59960699,0.05955892,0.01087556,0.00000761,45829.00000000,0.06689619,0.000000,0.000000
1577840649.69944191,0.05962175,0.02551639,0.00000895,46568.00000000,0.10221917,0.000000,0.000000
1577840649.79928493,0.05964474,0.01409351,0.00000732,47179.00000000,0.07525453,0.000000,0.000000
1577840649.89992905,0.05965715,0.01301571,0.00000686,47390.00000000,0.06809566,0.000000,0.000000
1577840649.99976802,0.05963838,0.00711038,0.00000943,47492.00000000,0.04685486,0.000000,0.000000
1577840650.09961700,0.05958925,0.00680901,0.00000488,47496.00000000,0.02608387,0.000000,0.000000
1577840650.19946909,0.05955514,0.00106868,0.00000860,47501.00000000,0.03625818,0.000000,0.000000
1577840650.29930711,0.05953051,0.00251500,0.00000612,47509.00000000,0.04268332,0.000000,0.000000
1577840650.39992905,0.05947708,0.00358318,0.00000763,47534.00000000,0.02287736,0.000000,0.000000
1577840650.49976897,0.05947511,0.00295996,0.00001306,47550.00000000,0.05812241,0.000000,0.000000
1577840650.59960389,0.05946651,0.00466857,0.00000756,47579.00000000,0.05356047,0.000000,0.000000
1577840650.69942808,0.05954953,0.00465181,0.00000810,47546.00000000,0.11666518,0.000000,0.000000
1577840650.79966807,0.05968182,0.00499570,0.00000742,47534.00000000,0.15082964,0.000000,0.000000
1577840650.89951420,0.05973948,0.00358405,0.00001107,47573.00000000,0.09952368,0.000000,0.000000
1577840650.99935198,0.05983851,0.00353265,0.00000574,47630.00000000,0.12826897,0.000000,0.000000
1577840651.09999013,0.05995455,0.00471882,0.00000886,47768.00000000,0.14025376,0.000000,0.000000
1577840651.19982314,0.06008381,0.00738486,0.00000598,47988.00000000,0.14966033,0.000000,0.000000
1577840651.29965305,0.06015793,0.00663129,0.00000618,48316.00000000,0.11159989,0.000000,0.000000
1577840651.39948392,0.06031058,0.00738309,0.00000739,48625.00000000,0.16640388,0.000000,0.000000
1577840651.49931502,0.06028008,0.00567711,0.00000579,48964.00000000,0.03905080,0.000000,0.000000
1577840651.59995198,0.06028657,0.00411545,0.00000705,49159.00000000,0.06480694,0.000000,0.000000
1577840651.69978499,0.06025402,0.00225158,0.00000820,49191.00000000,0.03753648,0.000000,0.000000
1577840651.79962802,0.06022171,0.01279824,0.00000541,49190.00000000,0.03763734,0.000000,0.000000
1577840651.89946103,0.06016770,0.00161382,0.00000456,49207.00000000,0.02235790,0.000000,0.000000
1577840651.99929023,0.06010525,0.00116320,0.00000493,49217.00000000,0.01633251,0.000000,0.000000
1577840652.09991193,0.06017817,0.00169790,0.00000524,49221.00000000,0.11136687,0.000000,0.000000
1577840652.19975185,0.06021854,0.00334049,0.00000827,49250.00000000,0.08859989,0.000000,0.000000
1577840652.29958820,0.06031438,0.00732888,0.00000683,49335.00000000,0.12778771,0.000000,0.000000
1577840652.39941716,0.06040036,0.00710644,0.00000818,49420.00000000,0.12101542,0.000000,0.000000
1577840652.49963903,0.06048620,0.00603878,0.00000806,49449.00000000,0.12108941,0.000000,0.000000
1577840652.59947491,0.06055770,0.00401554,0.00000878,49555.00000000,0.11110190,0.000000,0.000000
1577840652.69931483,0.06056520,0.00498626,0.00000731,49657.00000000,0.06587567,0.000000,0.000000
1577840652.79995894,0.06066925,0.00639393,0.00000614,49847.00000000,0.13444530,0.000000,0.000000
1577840652.89980102,0.06073462,0.00731041,0.00000860,50044.00000000,0.10714775,0.000000,0.000000
1577840652.99964905,0.06070488,0.00754305,0.00000589,50279.00000000,0.03955859,0.000000,0.000000
1577840653.09949017,0.06066644,0.00685559,0.00000521,50544.00000000,0.03329924,0.000000,0.000000
1577840653.19932604,0.06069461,0.00688733,0.00000751,50738.00000000,0.08077965,0.000000,0.000000
1577840653.29996109,0.06074701,0.00722022,0.00000843,50893.00000000,0.09815569,0.000000,0.000000
1577840653.39981103,0.06078352,0.00617303,0.00000870,51039.00000000,0.08689192,0.000000,0.000000
1577840653.49965096,0.06083257,0.01353238,0.00000756,51191.00000000,0.09594988,0.000000,0.000000
1577840653.59948897,0.06097000,0.00587228,0.00000855,51208.00000000,0.15950960,0.000000,0.000000
1577840653.69933796,0.06106654,0.00482303,0.00000756,51242.00000000,0.13037763,0.000000,0.000000
1577840653.79998899,0.06110334,0.00345674,0.00000586,51255.00000000,0.08756530,0.000000,0.000000
1577840653.89981890,0.06107354,0.00390507,0.00000614,51249.00000000,0.03961462,0.000000,0.000000
1577840653.99963999,0.06111028,0.00890295,0.00001216,51262.00000000,0.08759965,0.000000,0.000000
